surface	norm	freq	text_count	pct_texts	texts	category
მისა	მისა	116	38	70.4	cyril-epiphany-homily|ephr-markhva|inventio-stephani-lucian|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-1|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-1|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-timote-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
უფლისა	უფლისა	111	37	68.5	cyril-epiphany-homily|inventio-stephani-lucian|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-basili-2|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-colophon-makari|mrav-cross-vision|mrav-dormition-1|mrav-enkenia-1|mrav-enkenia-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-nails-inventio|mrav-natlisgeba-okropiri|mrav-new-sunday|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-timote-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
იყოს	იყოს	100	33	61.1	cyril-epiphany-homily|hesych-hypapante-01|inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-basili-2|mrav-bzoba-iohannes|mrav-chrysostom-jonah|mrav-cross-vision|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-john-baptist-decollatio-2|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-nails-inventio|mrav-paul-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|proclus-hom-theotokos	FUNCTION
ღმრთისა	ღმრთისა	99	28	51.9	cyril-epiphany-homily|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-basili-1|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-colophon-makari|mrav-cross-vision|mrav-dormition-1|mrav-enkenia-1|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom|mrav-nails-inventio|mrav-natlisgeba-1|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	FUNCTION
მათი	მათი	92	28	51.9	cyril-epiphany-homily|ephr-markhva|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-2|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-1|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-timote-1	FUNCTION
მოვიდა	მოვიდა	89	33	61.1	chrys-epiphany-homily|cyril-epiphany-homily|hesych-hypapante-01|inventio-stephani-lucian|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-antipater-bostrensis-1|mrav-basili-2|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-cross-vision|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-natlisgeba-1|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-timote-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
ყო	ყო	76	31	57.4	mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-basili-2|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-1|mrav-enkenia-1|mrav-enkenia-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-martyrs-chrysostom|mrav-natlisgeba-1|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
ღმრთისაჲ	ღმრთისაი	76	28	51.9	chrys-epiphany-homily|cyril-epiphany-homily|ephr-markhva|hesych-hypapante-01|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-basili-2|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-cross-vision|mrav-dormition-2|mrav-enkenia-1|mrav-enkenia-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-natlisgeba-1|mrav-new-sunday|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-timote-1|proclus-hom-theotokos	FUNCTION
წმიდაჲ	წმიდაი	75	29	53.7	chrys-epiphany-homily|cyril-epiphany-homily|hesych-hypapante-01|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-basili-1|mrav-basili-2|mrav-bound-ioane-zosime|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-colophon-makari|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-1|mrav-enkenia-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-martyrs-chrysostom-2|mrav-nails-inventio|mrav-natlisgeba-1|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	FUNCTION
იტყოდა	იტყოდა	74	31	57.4	chrys-epiphany-homily|cyril-epiphany-homily|hesych-hypapante-01|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-basili-2|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-2|mrav-enkenia-2|mrav-epiphane-mary|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-john-baptist-decollatio-2|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-natlisgeba-1|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
