surface	norm	freq	text_count	pct_texts	texts	category
ერსა	ერსა	24	13	24.1	ephr-markhva|mart-stepane|mrav-aghdgoma-meletios|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-cross-vision|mrav-feristsvaleba|mrav-forty-martyrs|mrav-martyrs-chrysostom|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-timote-1	REVIEW
უფლისაჲთა	უფლისაითა	24	7	13.0	mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-dormition-2|mrav-enkenia-1|mrav-ioane-zosime|mrav-lazare|proclus-hom-theotokos	REVIEW
პოვა	პოვა	23	12	22.2	mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-chrysostom-jonah|mrav-enkenia-1|mrav-enkenia-2|mrav-forty-martyrs|mrav-holymonday|mrav-kharbeba-2|mrav-lazare|mrav-paul-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios	REVIEW
თქუენდა	თქუენდა	23	10	18.5	mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-bzoba-iohannes|mrav-chrysostom-jonah|mrav-cross-vision|mrav-martyrs-chrysostom-3|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-toma-chrysostom	REVIEW
უფლისაჲ	უფლისაი	23	13	24.1	chrys-epiphany-homily|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-chrysostom-jonah|mrav-enkenia-1|mrav-exaltation-cross|mrav-lazare|mrav-natlisgeba-okropiri|mrav-new-sunday|mrav-timote-1	REVIEW
ძმანო	ძმანო	23	15	27.8	cyril-epiphany-homily|ephr-markhva|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-colophon-makari|mrav-departed-ephrem|mrav-dormition-1|mrav-dormition-2|mrav-exaltation-cross|mrav-martyrs-chrysostom|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|proclus-hom-theotokos	REVIEW
მრქუა	მრქუა	23	7	13.0	cyril-epiphany-homily|inventio-stephani-lucian|mart-stepane|mrav-bzoba-severian|mrav-cross-vision|mrav-natlisgeba-1|proclus-hom-theotokos	REVIEW
ეტყჳს	ეტყვს	22	12	22.2	mrav-aghdgoma-kyrile|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-dormition-2|mrav-enkenia-2|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-lazare|mrav-natlisgeba-1|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	REVIEW
იტყჳან	იტყვან	22	10	18.5	mrav-aghdgoma-kyrile|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-2|mrav-epiphane-mary|mrav-feristsvaleba|mrav-shoba-athanasi|mrav-sinai-fathers-amonios	REVIEW
ჰრქუეს	ჰრქუეს	22	7	13.0	mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-basili-1|mrav-cross-vision|mrav-enkenia-2|mrav-paul-martyrdom|mrav-sinai-fathers-amonios	REVIEW
ნუცა	ნუცა	22	9	16.7	mrav-aghdgoma-kyrile|mrav-bzoba-severian|mrav-epiphane-mary|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-2|mrav-natlisgeba-okropiri|mrav-sulthmofenoba-2|mrav-timote-1	REVIEW
უნდა	უნდა	22	13	24.1	inventio-stephani-lucian|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-2|mrav-lazare|mrav-natlisgeba-1|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1	REVIEW
სოფლისა	სოფლისა	22	12	22.2	cyril-epiphany-homily|mrav-antipater-bostrensis-1|mrav-bzoba-severian|mrav-departed-ephrem|mrav-dormition-2|mrav-enkenia-1|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-natlisgeba-1|mrav-paul-martyrdom|mrav-sulthmofenoba-1	REVIEW
რომლითა	რომლითა	22	12	22.2	mart-iaqob-up-dzma|mrav-basili-1|mrav-chrysostom-jonah|mrav-dormition-1|mrav-epiphane-mary|mrav-forty-martyrs|mrav-kharbeba-2|mrav-lazare|mrav-nails-inventio|mrav-shoba-athanasi|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
