xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.zogs_rai	ზოგს რაჲ(მე)	რამდენადმე, ნაწილობრივ, ცოტად თუ ბევრად	ი. ა.	abuladze1973	განზოგება|განმაზოგებელი|ზოვგად|ზოგადი|ნაზოგალი
lex.zogs_mgbari	ზოგს-მგბარი	ნახევრად მოხარშული	ი. ა.	abuladze1973	გბობა|გბოლვა
lex.zovgad	ზოვგად		ი. ა.	abuladze1973	ზოგად|ზოვგად|ზოგს რაჲ(მე)
lex.zovsi	ზოვსი	იგივეა, რაც ზევსი	ი. ი.	imnaishvili	ზევსი
lex.zolavari	ზოლავარი		ა. შ.	shanidze1971	საზოლავროჲ
lex.zoma	ზომა		ი. ა.	abuladze1973	განზომა|განუზომელი|მიზომა|მოზომა|საზომი|საზომელი|უზომო|უზომი|წილის-საზომი
lex.zomt_sabeli	ზომთ-საბელი	ბაწარი, მსხვილი თოკი	ი. ა.	abuladze1973	საბელი
lex.zomi	ზომი	ზომა, სახე; მოხაზულება; ოდენი	ი. ა.	abuladze1973	ზომიერი
lex.zomieri	ზომიერი	ნორმალური	ი. ა.	abuladze1973	ზომი
lex.zomiti	ზომითი	(σύμμετροЅ) ზომიერი, შესაფერისი	სხ.	misc	
lex.zoravari	ზორავარი	მხედართ-მთავარი	ი. ა.	abuladze1973	
lex.zorva	ზორვა	მსხუერპლი, შეწირვა, გება	ი. ა.	abuladze1973	საზორველი|ნაზორევი|ძორვა
lex.zorva_dzorva	ზორვა, ძორვა	მსახურება, მსხვერპლის მიტანა	ი. ა.	abuladze1973	
lex.zorvari	ზორვარი	(ზორავარ) უდრის ბიზანტიურ დომესტიკოსს; მხედართმთავარი	ქ. ც.	kartlis_tskhovreba	
lex.zorvili	ზორვილი	მსხვერპლი, შესაწირავი; ნაზორევი	ი. ა.	abuladze1973	დაზორვა|ნაზორევი|საზორველი
lex.zosteri	ზოსტერი	ქამარი, სარტყელი	ი. ა.	abuladze1973	
lex.zrakheba	ზრახება	სწავლება, რჩევა	ი. ა.	abuladze1973	განზრახება|გაზრახება|მაზრახებელი|საზრახავი|შეზრახება
lex.zrakhva_dzrakhva	ზრახვა, ძრახვა	ფიქრი, ბჭობა, მოთათბირება, მოსაზრება, განზრახვა, უბნობა, ლაპარაკი, წარმოთქმა; შეთხზვა, მოგონება. აზრი; ზრუნვა; რჩევა, ახსნა-განმარტება	ი. ა.	abuladze1973	განზრახვა|ერთზრახვა
lex.zrakhvit	ზრახვით	საიდუმლოდ	ი. ა.	abuladze1973	ზრახული
lex.zrakhvis_ziari	ზრახვის-ზიარი	მოლაპარაკე, ლაპარაკის უნარის მქონე	ი. ი.	imnaishvili	
lex.zrakhvis_qopa	ზრახვის-ყოფა	თათბირი, მოლაპარაკება	ი. ი.	imnaishvili	
lex.zrakhuli	ზრახული	დალაპარაკებული	ი. ა.	abuladze1973	განზრახვა|განმზრახი|განმზრახველი|გამზრახი|განუზრახველად|გულის-ზრახვა|ერთზრახვა|ზრახვით|თანა-ზრახვა|მართლგანმზრახველი|მზრახი
lex.zrda	ზრდა	ფუფუნება, ჭმევა, კვება; აღზრდა	ი. ა.	abuladze1973	აღზრდა|განზრდა|განზრდილი|გამოზრდილი|ზარდ|მზარდელი|მზარდული|მზრდელი|მოზარდობა|მოზარდული|მოზარდი|საზრდელი|საზრდო
lex.zrdileba	ზრდილება	აღზრდა	ი. ა.	abuladze1973	შინა-ზრდილობა
lex.zrzena	ზრზენა	გაღიზიანება, აგულიანება, გალაღება; განრისხება. წინააღმდეგობა, ურჩობა	ი. ა.	abuladze1973	მაზრზენელი|ზრზინება|ზრზენადი
lex.zrzenadi	ზრზენადი	გამაღიზიანებელი, ამაგულიანებელი	ი. ა.	abuladze1973	აღზრზენა|მაზრზენელი|ზრზენა
lex.zrzineba	ზრზინება	მჴდომობა, წინააღმდეგობა, ურჩობა	ი. ა.	abuladze1973	მაზრზინებელი|ზრზენა
lex.zrzola	ზრზოლა	ძრწოლა, ცახცახი	ი. ა.	abuladze1973	
lex.zrinva	ზრინვა	დაყვირება	ზ. ს.	sarjveladze1995	
lex.zrioba	ზრიობა		ი. ა.	abuladze1973	შეზრიობა
lex.zrokha_dzrokha	ზროხა, ძროხა	საქონელი, ნახირი, ხარი, დეკეული, ხბო, ძროხა	ი. ა.	abuladze1973	საზროხე|ძროხა
lex.zrunva	ზრუნვა	გულის-სიტყუა, შეზ რუნება, შფოთი, აღძვრა, ურვა, წუხილი, გარჯა, ღვაწლი, მიმოტაცება, მწუხარება	ი. ა.	abuladze1973	დაზრუნვა|მზრუნველი
lex.zrunvisa_deba	ზრუნვისა დება	გულს-დება, ზრუნვა	ი. ა.	abuladze1973	დაზრუნვა|თანამზრუნველი|მიმოდაზრუნვა
lex.zrqeli	ზრქელი	სქელი; მსუქანი, პოხილი	ი. ა.	abuladze1973	განზრქომა|სიზრქე|სისქე
lex.zuavi	ზუავი	გოროზი, ამაყი	ი. ა.	abuladze1973	ზუაობა
lex.zuaoba	ზუაობა	გაამაყება, ამაყობა, ზვიადობა, ამპარტავნობა, დიდების-მოყვარება	ი. ა.	abuladze1973	აღზუავება|აღზუავებული|ზუავი|მზუაობარი|საზუაობელი
lex.zuaraki	ზუარაკი	ჴბო, ჴარი, ჴარი ჴბო; მსხვერპლი	ი. ა.	abuladze1973	
lex.zuari	ზუარი		ი. ა.	abuladze1973	მეზუარე
lex.zueba	ზუება	შობა	ი. ა.	abuladze1973	მეზუები|მზუელი|უზუები
lex.zuelva	ზუელვა	გაცინვა, გამოჯავრება	ი. ა.	abuladze1973	
lex.zueri	ზუერი	ბაჟი, ხარკი, გამოსაღები	ი. ა.	abuladze1973	მეზუერე|საზუერე
lex.zuzgha	ზუზღა	წყლულება, წყლული, ბალღამი	ი. ა.	abuladze1973	
lex.zuleva	ზულევა	შთამოგორება	ი. ა.	abuladze1973	დაზულეული|დაზულევა
lex.zumba	ზუმბა	საბა: ზუმბა სხვათა ენაა, ქართულად დგუში ჰქვიან. დგუში – თოფის გასატენი ჯოხი	ქ. ც.	kartlis_tskhovreba	
lex.zundrukeba	ზუნდრუკება	ცუნდრუკება	სხ.	misc	
lex.zurg_gatekhili	ზურგ-გატეხილი		ი. ა.	abuladze1973	ტეხა
lex.zurg_tekhili	ზურგ-ტეხილი	ზურგ-გატეხილი	ი. ა.	abuladze1973	ტეხა
lex.zurgeba	ზურგება	გადარჩენა	ი. ა.	abuladze1973	ზურგი
lex.zurgi	ზურგი		ი. ა.	abuladze1973	ზურგება|ზურგით
lex.zurgit	ზურგით	უკან, უკუანა 	ი. ა.	abuladze1973	ზურგი
