xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.a	ა	დედრობითი სქესის სუფიქსი ძველი ქართულის გვიანდელ ტექსტებში			
lex.aqaveba	ა(ღ)ქავება	ოხრა, ბგერის გამოცემა, აღყივება	ი. ა.	abuladze1973	ოხრა
lex.aba	აბა				აბბა|აბა|ამბა|ანბა|ჰაბა
lex.aba_haba	აბა, ჰაბა	აბა, მაშ	ი. ა.	abuladze1973	
lex.abano	აბანო	საბანელი სახლი	ი. ა.	abuladze1973	
lex.abarmad_i	აბარმად-ი	მონასტრის ხელისუფალთაგანი	ა. შ.	shanidze1971	
lex.abba_aba_amba_anba	აბბა, აბა, ამბა, ანბა	მამა	ი. ა.	abuladze1973	აბა
lex.abezroba	აბეზრობა	განშორება, განდგომა	ი. ა.	abuladze1973	
lex.abma	აბმა				
lex.abramadi	აბრამადი	სალთხუცესი. მისი თანამდებობა	ქ. ც.	kartlis_tskhovreba	
lex.abrameani_abramiani	აბრამეანი, აბრამიანი	აბრაამის (აბრაჰამის) შთამომავალი; ადამიანი, კაცი	ი. ი.	imnaishvili	
lex.abjari	აბჯარი	აბჯრისა; საჭურველი, იარაღი	ი. ა.	abuladze1973	მეაბჯრე
lex.abjris_damabneveli	აბჯრის-დამაბნეველი	საჭურვლის, იარაღის გადამყრელი			ბნევა
lex.abjrismtvirtveli	აბჯრისმტვირთველი	წარჩინებულ მეომართა დამხმარე პირი, რომელიც მათ იარაღს ატარებდა. საქართველოს მეფის აბჯრისმტვირთველი ეზოსმოძღვარჩუხჩარეხი			
lex.agara	აგარა				აგარაკი
lex.agaraki	აგარაკი	მიწა, ადგილი; სახნავ-სათესი მიწა, საყანე ადგილი; ყანა			აგარა|მეაგარაკე|ქუეყანაჲ საქმარი|ველი
lex.agaraki_agara	აგარაკი, აგარა	ქუეყანაჲ საქმარი, დაბა, სოფელი, ყანა, ველი	ი. ა.	abuladze1973	მეაგარაკე|ქუეყანაჲ საქმარი
lex.agareani	აგარეანი	აბრაამის შთამომავალი აგარის ხაზით [აგარი აბრაამის ხარჭას ერქვა]	ი. ი.	imnaishvili	
lex.agebuleba	აგებულება	სხეული, ტანი, აღნაგობა, შედგენილობა	ი. ა.	abuladze1973	
lex.agva	აგვა	აწმენდა, აღება	ი. ა.	abuladze1973	გვა
lex.agzeba_agzebuli	აგზება, აგზებული		ი. ა.	abuladze1973	აღგზება|აგზება|აღგზნება|აგზნება
lex.agiaro	აგიარო		ი. ა.	abuladze1973	აღსაარება|აღსარება
lex.agna	აგნა		ი. ი.	imnaishvili	გებ-ა
lex.agrgvineba	აგრგჳნება	ახმაურება	ი. ა.	abuladze1973	გრგჳნვა
lex.agrilobda	აგრილობდა	ჩრდილს აყენებდა, ჰფარავდა	სხ.	misc	
lex.agrdzna	აგრძნა		ი. ი.	imnaishvili	გრძნობა
lex.aguri	აგური	გამომწვარი ალიზი	ი. ა.	abuladze1973	
lex.agvisto_agvistosi	აგჳსტო, აგჳსტოსი	აგვისტოს თვე			
lex.adama_adamanti_adamati_andamatia	ადამა; ადამანტი; ადამატი; ანდამატია	ადამანტიანი, ადამას, ანტის, ალმასი	ი. ა.	abuladze1973	ადამანტი|ადამატი|ანდამატია
lex.adamanti_adamati	ადამანტი, ადამატი		ი. ა.	abuladze1973	ადამა; ადამანტი; ადამატი; ანდამატია
lex.adamantiani_adamantine	ადამანტიანი, ადამანტინე	ადამანტი, ანდამატისა	ი. ა.	abuladze1973	
lex.adameani	ადამეანი	ადამიანი, ადამის ჩამომავალი			
lex.adari	ადარი	იგრიკა, ებრაელთა მეექვსე თვე – მარტი	ი. ა.	abuladze1973	
lex.adgid_geba	ადგიდ-გება	განმტკიცება, დამყარება, მოწესრიგება	ი. ა.	abuladze1973	გებ-ა
lex.adgil_tsema	ადგილ(ის)-ცემა	დათმობა, მიშვება	ი. ა.	abuladze1973	ცემა|ცემა თავსა თჳსსა
lex.adgil_adgid	ადგილ-ადგიდ	ალაგ-ალაგ. ადგილითი-ადგილად – ადგილიდან ადგილზე	ი. ი.	imnaishvili	
lex.adgilad	ადგილად	თჳს, გამო	ი. ა.	abuladze1973	
lex.adgilad_adgiladi	ადგილად-ადგილადი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgiladi	ადგილადი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgilebri	ადგილებრი	ადგილისა	ზ. ს.	sarjveladze1995	
lex.adgili	ადგილი	მოადგილი	ი. ა.	abuladze1973	ადგილობანი|მოადგილი|სახე
lex.adgiliti_adgilad	ადგილითი ადგილად	ერთი ადგილიდან მეორე ადგილზე, სხვადასხვა ადგილში	ი. ი.	imnaishvili	
lex.adgilis_mtsveli	ადგილის-მცველი	მოადგილე	ქ. ც.	kartlis_tskhovreba	
lex.adgilis_pqroba	ადგილის-პყრობა	დადგრომა, შედომა, შეჩერება	ი. ა.	abuladze1973	პყრობა|პყრობილი
lex.adgilis_tsema	ადგილის-ცემა	(გზიდან) ჩამოცლა, დროება, (თავის ნებაზე) გაშვება, დანებება(ა), მარტო დატოვება	ი. ი.	imnaishvili	
lex.adgilobani	ადგილობანი	ადგილი; საცხოვ რისი, სამყოფი	ი. ა.	abuladze1973	ადგილი
lex.adgilobiti	ადგილობითი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgoma	ადგომა	აღდგომა, ადგომა			აღდგომა
lex.advil_advilad	ადვილ, ადვილად	არაძნელად, იოლად, მსუბუქად	ი. ა.	abuladze1973	
lex.advili	ადვილი	არაძნელი, იოლი, წრფელი	ი. ა.	abuladze1973	უადვილე|უადვილესი
lex.adre	ადრე	მალე, სწრაფად, მაშინვე, მსთუად, მეყსეულად			უადრე|უადრეს
lex.adre_migheba	ადრე-მიღება	ადრე აღსრულება; მოსწრაფედ წარტაცება	ი. ა.	abuladze1973	მიღებული
lex.adre_qopa	ადრე-ყოფა	სწრაფა	ი. ა.	abuladze1973	ყოფა
lex.adreve	ადრევე	წინათვე	ი. ა.	abuladze1973	
lex.adritgan	ადრითგან	ადრიდანვე	ი. ა.	abuladze1973	
lex.aelveba	აელვება	ბრწყინვა	ი. ა.	abuladze1973	ელვა
lex.aeri_haeri	აერი, ჰაერი	ამინდი; ჰაერი; ქარი	ი. ა.	abuladze1973	ჰაერი
lex.aeroani	აერო(ვ)ანი	(τό ἀίθριον) მშვენიერი, ლამაზი, ბრწყინვალე	ი. ი.	imnaishvili	
lex.aerovani	აეროვანი	უსართულო	ი. ა.	abuladze1973	
lex.aeshagi_aishagi	აეშაგი, აჲშაგი	ჯაშუში, მზვერავი	ქ. ც.	kartlis_tskhovreba	
lex.avazakeba	ავაზაკება	ავაზაკობა, ყაჩაღობა	ი. ი.	imnaishvili	
lex.avazakt_mtavari	ავაზაკთ-მთავარი	ყაჩაღთა, მძარცველთა უფროსი, მეთაური	ი. ა.	abuladze1973	თავი|მთავარი
lex.avazaki	ავაზაკი	ყაჩაღი, მტაცებელი	ი. ა.	abuladze1973	ავაზაკობა|ავაზაკება|მოავაზაკება|საავაზაკო
lex.avazakoba_avazakeba	ავაზაკობა, ავაზაკება	ყაჩაღობა, ტაცება, ძარცვა	ი. ა.	abuladze1973	ავაზაკი
lex.avazani	ავაზანი	სიავი, ქვაბი; აუზი; ემბაზი	ი. ა.	abuladze1973	სიავი
lex.avazi_avaza	ავაზი, ავაზა	felis pardus	ი. ა.	abuladze1973	
lex.avazni	ავაზნი	ავაზა (ვეფხვის ჯიშის ცხოველია)	ი. ი.	imnaishvili	
lex.avandagiri	ავანდაგირი	საისტორიო წიგნი; თხრობა, ისტორია, პატმოთინი	ი. ა.	abuladze1973	
lex.avandi	ავანდი	წესი	ზ. ს.	sarjveladze1995	
lex.avani	ავანი	სოფელი	ი. ა.	abuladze1973	
lex.avari	ავარი	(ავრისა) ალაფი, ნაძარცვი, წარმონაღები	ი. ა.	abuladze1973	ავრობა|წარმოავრება
lex.avaji	ავაჯი	კილო, ხმა	ი. ა.	abuladze1973	
lex.avajmravali	ავაჯმრავალი	მრავალ კილოზე მომღერალი (სამღერი)	ზ. ს.	sarjveladze1995	
lex.avtolopos	ავთოლოფოს	ცხოველია	ი. ი.	imnaishvili	
lex.avi	ავი		ი. ა.	abuladze1973	ჰავი
lex.avla	ავლა		ი. ა.	abuladze1973	წიაღ-აღვლა|წიაღ-ავლა
lex.avli	ავლი	ფერფლი, ნაცარი			
lex.avlini	ავლინი	ეზო	ი. ა.	abuladze1973	
lex.avzhanda	ავჟანდა	შეწევნა, დახმარება	ი. ა.	abuladze1973	
lex.avroba	ავრობა	ტაცება	ი. ა.	abuladze1973	ავარი
lex.avqsoni	ავქსონი	ავტორი	ქ. ც.	kartlis_tskhovreba	
lex.avsharai	ავშარაჲ	ულაგმო აღვირი	ზ. ს.	sarjveladze1995	
lex.azaveri	აზავერი	(აზავრისა) ხარი	ი. ა.	abuladze1973	
lex.azarpeti	აზარპეტი		ა. შ.	shanidze1971	აზრაპეტი|აზარპეტი
lex.azati_azadi	აზატი, აზადი	თავისუფალი	ქ. ც.	kartlis_tskhovreba	
lex.azela	აზელა	ფეხით ტკეპნა, თელვა	ი. ა.	abuladze1973	ზელა
lex.azma	აზმა	ქება	ქ. ც.	kartlis_tskhovreba	
lex.azna	აზნა	კეთილშობილი	ი. ა.	abuladze1973	აზნაური|აზნება|სიაზნე|უაზნო
lex.aznaureba	აზნაურება	თავისუფლება; კეთილშობილება, პატივი	ი. ა.	abuladze1973	განაზნაურება
lex.aznauri	აზნაური	თავისუფალი, არამონა; წარჩინებული წოდებისა ან გვარისა, დიდებული, მდიდარი, მთავარი	ი. ა.	abuladze1973	აზნა|სიაზნაურე|უაზნაურჱსი
lex.azneba	აზნება	გვაროვნობა, ტომობა	ი. ა.	abuladze1973	აზნა
lex.azrapeti_azarpeti	აზრაპეტი, აზარპეტი	მნე ქვეყნისა ან სამეფო კარისა	ა. შ.	shanidze1971	აზარპეტი
lex.at_tsil	ათ წილ	ათჯერ	ა. შ.	shanidze1971	ათი ათასი|ათეული|განათეულება|მეათე|მეათედი|მოათევსება|მოათეულება
lex.atabagi	ათაბაგი	მთავარი; დიდი მამა, მეფის მამა	ი. ა.	abuladze1973	
lex.atas_otkhasi	ათას ოთხასი	1.4	ი. ა.	abuladze1973	
lex.atas_tsil	ათას წილ	ათასჯერ	ი. ა.	abuladze1973	
lex.ataseuli	ათასეული	1.000; ათასიანი; ათასისთავი	ი. ა.	abuladze1973	ათასი|ორდაოც ათასეული და ორასი
lex.atasi	ათასი	1	ი. ა.	abuladze1973	ასი|ათასეული|ათორმეტი ათასი|ოთხათასი|ორათასი|ოციათასი|ხუთათასი|შჳდათასი
lex.atasis_tavi	ათასის-თავი	ათასის მეთაური	ი. ა.	abuladze1973	თავი
lex.atasis_mtavari	ათასის-მთავარი	ათასეულის მეთაური	ი. ა.	abuladze1973	მთავარი
lex.atasistavi	ათასისთავი	ათასი ჯარისკაცის უფროსი; მეთაური, წინამძღოლი	ი. ი.	imnaishvili	
lex.atezoedi	ათეზოედი	ათფარდიანი	ი. ა.	abuladze1973	ეზოედი
lex.atertmeti	ათერთმეტი	11	ი. ა.	abuladze1973	მეათერთმეტე
lex.ateri_atiri	ათერი, ათირი	ეთერი			
lex.ateuli	ათეული	1/10; 10	ა. შ.	shanidze1971	ათი|ათ წილ
lex.ateulisa_mogheba	ათეულისა მოღება	მოათევსება	ი. ა.	abuladze1973	თავი|მოღება ათეულისა
lex.atequsmeti	ათექუსმეტი		ი. ა.	abuladze1973	მეათექუსმეტე
lex.atis_tavi	ათის-თავი	ათეულის მეთაური	ი. ა.	abuladze1973	თავი
lex.atotkhmeti	ათოთხმეტი	14	ი. ა.	abuladze1973	მეათოთხმეტე
lex.atormeti	ათორმეტი	12	ი. ა.	abuladze1973	ოცდაათორმეტი|სამეოცდაათორმეტი
lex.atormeti_atasi	ათორმეტი ათასი	12	ი. ა.	abuladze1973	ათასი
lex.atrvameti_aturameti	ათრვამეტი, ათურამეტი	18	ი. ა.	abuladze1973	თურამეტი|მეათრვამეტე|ოცდაათრვამეტი
lex.atsammeti	ათსამმეტი, ათსამეტი, ათცამეტი	13	ი. ა.	abuladze1973	ათცამეტი|ოცდაათცამეტი
lex.atqalaqi	ათქალაქი	დეკაპოლისი (ქალაქები იყო პალესტინაში)	ი. ი.	imnaishvili	
lex.atshvidmeti	ათშჳდმეტი	17	ი. ა.	abuladze1973	მეათშჳდმეტე
lex.attsameti	ათცამეტი		ა. შ.	shanidze1971	ათსამმეტი|ათსამეტი|ათცამეტი
lex.attskhrameti	ათცხრამეტი		ა. შ.	shanidze1971	ოთხმეოცდაათცხრამეტი
lex.atdzali	ათძალი	ათსიმიანი	ი. ა.	abuladze1973	ძალი
lex.atkheleba	ათხელება	კლება, მოსახლეობის შემცირება: მაშინ მცხეთაჲ ათხელდებოდა და ტფილისი ეშენებოდა	ი. ი.	imnaishvili	
lex.atkhutmeti_tkhutmeti	ათხუთმეტი, თხუთმეტი	15	ი. ა.	abuladze1973	თხუთმეტი|მეათხუთმეტე
lex.aidi	აიდი	მუსლიმთა დღესასწაული	ქ. ც.	kartlis_tskhovreba	
lex.aikhuen	აიხუენ		ი. ი.	imnaishvili	აღხუმა|ახუმა
lex.akalipi	აკალიფი	(ἠ ἄκαλήφη) მედუზა	სხ.	misc	
lex.akauri	აკაური	(მფრინ.) – აკაური არს, რომელსაც კვიკნო (κύκνοЅ, გედი) ბერძულად და ფორფირიონემ ლათინურად ჰქვიან (საბა)	ქ. ც.	kartlis_tskhovreba	
lex.akeldama	აკელდამა	დაბაჲ სისხლისაჲ; აკლდამა (სიტყვასიტყვით)	ი. ა.	abuladze1973	დაბაჲ სისხლისაჲ
lex.akonitoni	აკონიტონი	(aconitum) მრავალწლიანი მცენარე. შეიცავს შხამს აკონიტინს			
lex.akreba	აკრება	შეკრება, მოგროვება	ი. ა.	abuladze1973	კრება
lex.akrostikhoni	აკროსტიხონი	თავკიდურ ასოთა წერილობა	ზ. ს.	sarjveladze1995	
lex.aktuari	აკტუარი	აქტის შემდგენელი, ჩქარა მწერალი, მოანგარიშე, ბუღალტერი. აღმოსავლეთში ნიშნავდა სამხედრო ნაწილის მომმარაგებელს: ანაწილებდა ჯარის ნაწილებს შორის საწყობის გამგეებისაგან ხელის მოწერით მიღებულ			
lex.akumi	აკუმი	ტაბლა ან დასაჯდომი	ი. ა.	abuladze1973	
lex.alabastri	ალაბასტრი	შიში, ჭიქის ჭურჭელი	ი. ა.	abuladze1973	
lex.alagebri	ალაგებრი	მოსავლით მთის ალაგებრი: როგორც მთიან ადგილებშია	ქ. ც.	kartlis_tskhovreba	
lex.alagtaebri	ალაგთაებრი	მთის ალაგთაებრი. იგივეა, რაც ალაგებრი	ქ. ც.	kartlis_tskhovreba	
lex.alagi	ალაგი	ბილიკი, გზა; კვალი	ი. ა.	abuladze1973	სახე
lex.alami	ალამი	ზეწრის კუთხე (?)			
lex.alapi	ალაფი	ნატყუენავი, ნაძარცვი, ნადავლი	ი. ა.	abuladze1973	ნატყუენავი
lex.alaqabamshi	ალაქაბამში	ფეხსაცმელი	ქ. ც.	kartlis_tskhovreba	
lex.aldati	ალდატი	მარილიანი, მწირი ნიადაგი	სხ.	misc	
lex.alelua	ალელუა	მღვდელმსახურებაში სხვადასხვა ლოცვის ბოლოს დასართავი სიტყვა; ის ზოგ ლოცვას სამჯერ დაერთოდა, ზოგს – 7-ჯერ და მეტჯერ [სიტყვა ებრაულია, სიტყვა-სიტყვით ნიშნავს: აქებდეთ ღმერთსა	ი. ი.	imnaishvili	
lex.aleluia	ალელუჲა	ალილუია	ი. ა.	abuladze1973	
lex.aleqsandreli	ალექსანდრელი	ალექსანდრიელი (ქალაქ ალექსანდრიიდან)	ი. ი.	imnaishvili	
lex.alva	ალვა	სულნელ-საკმეველი	ი. ა.	abuladze1973	
lex.ali	ალი	ცეცხლის ანადენი (საბა)	ი. ა.	abuladze1973	მოალვა
lex.alizi	ალიზი	უწვავი აგური			
lex.alilo	ალილო	ალილუია (საგალობლის სიტყვაა, რომელიც სამჯერ მეორდება)	ი. ი.	imnaishvili	
lex.alisi	ალისი	ჯაჭვი, ღუზა	ი. ი.	imnaishvili	
lex.almuri_armuri	ალმური, არმური	საზოგადოდ დიდი ქარი; ნისლი(?)	ი. ი.	imnaishvili	ნისლი
lex.alo_alove_aloee	ალო, ალოვე, ალოეჱ		ი. ა.	abuladze1973	ჰალო|ალოვე|ალოეჱ|ალო
lex.alove_aloe_aloi	ალოვე, ალოე, ალოჲ	ერთგვარი სურნელოვანი მცენარე, რომლისაგანაც საკმეველს აკეთებდნენ	ი. ი.	imnaishvili	
lex.aloni	ალონი	ალიონი	ქ. ც.	kartlis_tskhovreba	
lex.alqati	ალქატი	ღარიბი, ღატაკი	ი. ა.	abuladze1973	
lex.ama	ამა, ამან, ამას და სხ.		ი. ა.	abuladze1973	-ესე
lex.amazoneli	ამაზონელი	ამორძალი	ი. ა.	abuladze1973	
lex.amao	ამაო, ამავო	ცუდი, ფუჭი, უქმი, ტყუილი	ი. ა.	abuladze1973	ამაო|ამავო
lex.amaoeba	ამაოება	ცუდი, უქმობა, არარაობა			ამაოება
lex.amaois_moqmedi	ამაოჲს-მოქმედი	ფუჭად მოქმედი	ი. ა.	abuladze1973	მოქმედ-ძჳრისაჲ
lex.amarzak	ამარზაკ	მაშინვე, უეცრად	ზ. ს.	sarjveladze1995	
lex.amari	ამარი	რაოდენობა	ქ. ც.	kartlis_tskhovreba	
lex.amas_zeda	ამას ზედა	მიერიდან	ი. ა.	abuladze1973	-ესე
lex.amaghleba	ამაღლება	ქრისტიანული დღესასწაული, მოდის აღდგომის მეორმოცე დღეს	ი. ი.	imnaishvili	
lex.ambari	ამბარი	სულნელია ერთგვარი; საჭმელი, საჭამადი	ი. ა.	abuladze1973	
lex.amboreba	ამბორება	ამბორის-ყოფა, კოცნა, მთხვევა	ი. ი.	imnaishvili	
lex.ambori	ამბორი	კოცნა	ი. ა.	abuladze1973	
lex.amboris_qopa	ამბორის-ყოფა	ამბორება, კოცნა	ი. ი.	imnaishvili	ყოფა|ჰამბორის-ყოფა
lex.amboris_qopa_hamboris_qopa	ამბორის-ყოფა, ჰამბორის-ყოფა	მოკითხვა, კოცნა	ი. ა.	abuladze1973	ყოფა
lex.amborosi	ამბოროსი	(helleborus)	ი. ა.	abuladze1973	
lex.ambokheba	ამბოხება	არევ-დარევა, აღშფოთება; შფოთი, არეულობა	ი. ა.	abuladze1973	ამბოხი|ანბოხი|ამბოხის-აღდგინება
lex.ambokhis_aghdgineba	ამბოხის-აღდგინება	აღელვება, არეულობა	ი. ა.	abuladze1973	ამბოხება|მეამბოხე
lex.ametviso_ametvistoni	ამეთჳსო, ამეთჳსტონი	(amethystus) პატიოსან თვალთაგანი	ი. ა.	abuladze1973	
lex.amen_amen	ამენ, ამჱნ	მართლიად, ნამდვილად	ი. ა.	abuladze1973	ამენი
lex.ameni	ამენი	გაარსებითებული ამენ-ის სახელობითი ბრუნვა	ი. ი.	imnaishvili	
lex.ameri	ამერი	აქეთელი, აღმოსავლელი ქართველი	ქ. ც.	kartlis_tskhovreba	
lex.amiante	ამიანტე	(ἡ ἀμίαντοЅ) აზბესტი	სხ.	misc	
lex.amiaros	ამიაროს		ი. ა.	abuladze1973	აღსაარება|აღსარება
lex.amier_amior	ამიერ, ამიორ	აქედან; ამიერ სოფლით: ამ ქვეყნიდან	ი. ი.	imnaishvili	
lex.amieri	ამიერი	აქაური; სააქაო	ა. შ.	shanidze1971	ამიერითგან|ამიერ|ამიორ
lex.amierit	ამიერით	აქედან	ი. ი.	imnaishvili	
lex.amieritgan	ამიერითგან	ამას იქით, ამის შემდეგ	ა. შ.	shanidze1971	ამიერი
lex.aminatoni	ამინატონი	(ἀμίαντοЅ) ქვა-ამიანტი	ა. შ.	shanidze1971	
lex.amir_muni_amir_mumli	ამირ-მუნი, ამირ-მუმლი	ამირ ალ-მუმინინი – მართლმორწმუნეთა მბრძანებელი, ხალიფების ტიტული	ქ. ც.	kartlis_tskhovreba	
lex.amira	ამირა	მთავარი, ამა თუ იმ კუთხის მმართველი (არაბთა სახელმწიფოში)	ი. ი.	imnaishvili	
lex.amira_amirat_amira	ამირა, ამირათ-ამირა	ოლქის, ქალაქის მმართველი, ასევე აღმოსავლური ტიტული. ამირები ისხდნენ თბილისშიც, სანამ ქალაქს დავით IV შემოიერთებდა	ქ. ც.	kartlis_tskhovreba	
lex.amirata_amira	ამირათა-ამირა	მთავართა-მთავარი, ხალიფი	ა. შ.	shanidze1971	ამირა
lex.amirakhori_amilakhori	ამირახორი, ამილახორი		ა. შ.	shanidze1971	მეჯინიბეთუხუცესი
lex.amirejibi	ამირეჯიბი	საქართველოს სამეფო კარის დიდი მოხელე, მანდატურთუხუცესის მოადგილე. ეჯიბთა უფროსი, მეფის მთავარი მომხსენებელი	ქ. ც.	kartlis_tskhovreba	
lex.amirspasalari	ამირსპასალარი	მხედართმთავართა უფროსი, საქართველოს მეფის ვაზირი	ქ. ც.	kartlis_tskhovreba	
lex.amis_gamo	ამის გამო	აქედან, ამიერიდან	ზ. ს.	sarjveladze1995	შინაგამო|შინაჲთგამო|წუერგამო
lex.amisa_shemdgomad	ამისა შემდგომად	მიერიდან	ა. შ.	shanidze1971	-ესე
lex.amisgan	ამისგან	აქედან, ამიერიდა	ი. ა.	abuladze1973	ამისი
lex.amisganad	ამისგანად	ამის გამო, ამ მიზეზით	ი. ი.	imnaishvili	
lex.amisganadtsa	ამისგანადცა	ამის გამო, ამიტომ	ი. ი.	imnaishvili	
lex.amisgani	ამისგანი	ამისი, აქაური	ი. ა.	abuladze1973	ამისგანად
lex.amistvis	ამისთჳს	ამიტომ	ი. ი.	imnaishvili	
lex.amisi	ამისი		ი. ა.	abuladze1973	ამისგანი
lex.amisiki	ამისიკი	ფისია რაღაც(?)	ი. ა.	abuladze1973	
lex.amo	ამო		ი. ი.	imnaishvili	ჴმა-ჰამო|ჰამო
lex.amomtsubebuli	ამომწუბებული	ამოგორებული, ამოსვრილი	ი. ა.	abuladze1973	აღმომწუბება|მწუბვა
lex.amorokhvit	ამოროხვით	მაძღრივ	ი. ა.	abuladze1973	როხვა
lex.amoqmna	ამოქმნა	ამოქოლვა, დახშვა	ი. ა.	abuladze1973	ქმნა გზისა
lex.amotsuma	ამოცუმა	გაყრა	ი. ა.	abuladze1973	ცუმა
lex.amotsqueda	ამოწყუედა	ამოშლა, ამოხოცვა	ი. ა.	abuladze1973	მზადება|წყუედა
lex.ampartavneba_ampartavnoba_anpartavnoba	ამპარტავ(ა)ნება, ამპარტავნობა, ანპარტავნობა	ამაყობა, ზვაობა, ლაღად ქცევა	ი. ა.	abuladze1973	ამპარტავანი
lex.ampartavani	ამპარტავანი	ამაყი, ზვიადი	ი. ა.	abuladze1973	ამპარტავ(ა)ნება|ამპარტავნობა|ანპარტავნობა|სიამპარტავნე
lex.ampoli	ამპოლი	ზეთის ჭურჭელი	ი. ა.	abuladze1973	
lex.ampqrobeli	ამპყრობელი		ი. ა.	abuladze1973	ჴელის-ამპყრობელი
lex.amrizeba	ამრიზება	გაბრაზება, განძვინება	ი. ა.	abuladze1973	
lex.amroba	ამრობა	თვლა, ჰამარი 70-რიცხვი; აღიჰამრვის, იჰამრვის ჟამი – აღირიცხების, დაითვლების	სხ.	misc	
lex.amrghue_amrghue_qmna	ამრღუე: ამრღუე ქმნა	გამრავლება	ი. ა.	abuladze1973	
lex.amrghueva	ამრღუევა	აღძვრა	ი. ა.	abuladze1973	მრღუევა
lex.amrchobltsilebs	ამრჩობლწილებს	აორმაგებს, აორკეცებს	სხ.	misc	
lex.amtkmeba	ამტკმება		ი. ა.	abuladze1973	აღმტკმება|ამტკმება
lex.amtktsari	ამტკცარი	ატკეცილი	ზ. ს.	sarjveladze1995	
lex.amuda	ამუდა	რკინის საგვემელი	ი. ა.	abuladze1973	
lex.amqumeli	ამქუმელი		ი. ა.	abuladze1973	აღმქუმელი|ამქუმელი
lex.amtsno	ამცნო		ი. ი.	imnaishvili	მცნება
lex.amkhedreba	ამჴედრება	სახედარზე (ცხენზე, ჯორზე, ვირზე) შეჯდომა	ი. ი.	imnaishvili	
lex.an	ან	ქართული ანბნის პირველი ასო, რიცხვითი მნიშვნელობა – 1	ი. ა.	abuladze1973	
lex.anagebi	ანაგები	აგებულება	ი. ა.	abuladze1973	
lex.anazda_anazdad_anazdait	ანაზდა, ანაზდად, ანაზდაით	მეყსეულად, უეცრად, მოულოდნელად, შემთხვევით	ი. ა.	abuladze1973	ანაზდაჲთი
lex.anazdaiti	ანაზდაჲთი	უეცარი, მოულოდნელი	ი. ა.	abuladze1973	ანაზდა|ანაზდად|ანაზდაით
lex.anastasiai	ანასტასიაჲ	წმ. აღდგომის სახელობის ტაძარი იერუსალიმში, აგებული კონსტანტინე დიდის მიერ 333 წ.	სხ.	misc	
lex.anaporai	ანაფორაჲ	დიდი სეფისკვერი; მოხსენება; თხოვნა	ზ. ს.	sarjveladze1995	
lex.anaqusi	ანაქუსი	ანაქსოვი, ნივთნი, რომელთაგან შედგება ადამიანის აგებულება	ქ. ც.	kartlis_tskhovreba	
lex.angahreba_angahroba	ანგაჰრება, ანგაჰრობა	ხარბობა, სიხარბე, გაუმაძღრობა	ი. ა.	abuladze1973	ანგაჰრი|ანგაჰარი
lex.angahri_angahari	ანგაჰრი, ანგაჰარი	ხარბი, გაუმაძღარი	ი. ა.	abuladze1973	ანგაჰრება|ანგაჰრობა|მიანგაჰრება|მოანგაჰრება|ნაანგარები|უანგაჰრესი
lex.angelozebr_angelozebriv	ანგელოზებრ, ანგელოზებრივ	ანგელოზისებურად	ი. ა.	abuladze1973	ანგელოზი
lex.angelozebri_angelozebrivi	ანგელოზებრი, ანგელოზებრივი	მსგავსი ანგელოზისა	ი. ა.	abuladze1973	
lex.angelozt_mtavari_angelost_mtavari	ანგელოზთ-მთავარი, ანგელოსთ-მთავარი	მთავარანგელოზი	ი. ა.	abuladze1973	მთავარი
lex.angelozt_msgavsi	ანგელოზთ-მსგავსი	ანგელოზისებრი	ი. ა.	abuladze1973	მსგავსი
lex.angelozi	ანგელოზი	მოციქული, მივლინებული, ღვთის მცნებათა მიმტანი, ღვთის მსახური	ი. ა.	abuladze1973	ანგელოზებრ|ანგელოზებრივ|მთავარანგელოზი
lex.angrovani	ანგროვანი	ცხვრის ფარა; შინაური პირუტყვი	ი. ა.	abuladze1973	
lex.andakia	ანდაკია	თევზი	ქ. ც.	kartlis_tskhovreba	
lex.andamatebrivi	ანდამატებრივი	მაგნიტისებური	ქ. ც.	kartlis_tskhovreba	
lex.andamati	ანდამატი	ალმასი	ქ. ც.	kartlis_tskhovreba	
lex.andamatia	ანდამატია		ი. ა.	abuladze1973	ადამა|ადამანტი|ადამატი|ანდამატია
lex.andez_qopa_anderz_qopa	ანდეზ-ყოფა, ანდერზ-ყოფა	ახილვის-ყოფა, აღრაცხა დათვალიერება, აღლუმი	ი. ა.	abuladze1973	ანდეზობა|ანდერზობა|ანდერძობა
lex.andezoba_anderzoba_anderdzoba	ანდეზობა, ანდერზობა, ანდერძობა	აღრიცხვა, ახილვა	ი. ა.	abuladze1973	ანდეზ-ყოფა|ანდერზ-ყოფა
lex.anderdzi_anderzi	ანდერძი, ანდერზი	წიგნი, დანაბარები; წინა ან ბოლოსიტყვაობა გადამწერისა ან ავტორისა	ი. ა.	abuladze1973	
lex.anderdzis_mtserali	ანდერძის-მწერალი	წიგნის მწერალი	ი. ა.	abuladze1973	მწერალი
lex.andrianti	ანდრიანტი	ქანდაკება	ქ. ც.	kartlis_tskhovreba	
lex.andriati	ანდრიატი	გამოსახულება	ი. ა.	abuladze1973	
